cost,address,opst,floor,space
70000,서울시 강북구 미아동,그랜드파크 1동,14,16.78
80000,서울시 강북구 미아동,그랜드파크 1동,20,18.48
80000,서울시 강북구 미아동,그랜드파크 1동,20,18.48
80000,서울시 강북구 미아동,그랜드파크 1동,20,18.48
70000,서울시 강북구 미아동,그랜드파크 1동,3,18.48
0,서울시 강북구 미아동,그랜드파크 1동,중,18.48
70000,서울시 강북구 미아동,그랜드파크 1동,중,18.48
100000,서울시 강북구 미아동,그랜드파크 1동,3,18.48
90000,서울시 강북구 미아동,그랜드파크 1동,저,18.48
80000,서울시 강북구 미아동,그랜드파크 1동,중,16.78
70000,서울시 강북구 미아동,그랜드파크 1동,3,14.92
100000,서울시 강북구 미아동,그랜드파크 1동,고,16.78
80000,서울시 강북구 미아동,그랜드파크 1동,중,16.78
7,서울시 강북구 미아동,그랜드파크 1동,9,18.48
74000,서울시 강북구 미아동,그랜드파크 1동,3,18.48
73000,서울시 강북구 미아동,그랜드파크 1동,3,18.48
74000,서울시 강북구 미아동,그랜드파크 1동,9,14.92
7,서울시 강북구 미아동,그랜드파크 1동,12,14.92
80000,서울시 강북구 미아동,그랜드파크 1동,10,18.48
67000,서울시 강북구 미아동,수유역푸르지오시티 1동,6,22.42
70000,서울시 강북구 미아동,수유역푸르지오시티 1동,5,22.42
80000,서울시 강북구 미아동,수유역푸르지오시티 1동,19,22.42
70000,서울시 강북구 미아동,수유역푸르지오시티 1동,15,22.42
67000,서울시 강북구 미아동,수유역푸르지오시티 1동,11,22.42
0,서울시 강북구 미아동,수유역푸르지오시티 1동,12,22.42
70000,서울시 강북구 미아동,수유역푸르지오시티 1동,8,22.42
70000,서울시 강북구 미아동,수유역푸르지오시티 1동,20,22.42
70000,서울시 강북구 미아동,수유역푸르지오시티 1동,저,22.42
67000,서울시 강북구 미아동,수유역푸르지오시티 1동,5,22.42
80000,서울시 강북구 미아동,수유역푸르지오시티 1동,4,22.42
100000,서울시 강북구 미아동,수유역푸르지오시티 1동,13,22.42
100000,서울시 강북구 미아동,수유역푸르지오시티 1동,12,22.42
80000,서울시 강북구 미아동,수유역푸르지오시티 1동,19,22.42
0,서울시 강북구 미아동,수유역푸르지오시티 1동,13,22.42
65000,서울시 강북구 미아동,수유역푸르지오시티 1동,9,22.42
65000,서울시 강북구 미아동,수유역푸르지오시티 1동,5,22.42
65000,서울시 강북구 미아동,수유역푸르지오시티 1동,12,22.42
65000,서울시 강북구 미아동,수유역푸르지오시티 1동,15,22.42
0,서울시 강북구 미아동,수유역푸르지오시티 1동,8,22.42
120000,서울시 강북구 미아동,스카이캐슬포레 1동,중,29.62
120000,서울시 강북구 미아동,스카이캐슬포레 1동,중,31.35
120000,서울시 강북구 미아동,스카이캐슬포레 1동,중,31.76
100000,서울시 강북구 미아동,스카이캐슬포레 1동,중,31.22
100000,서울시 강북구 미아동,스카이캐슬포레 1동,고,31.76
120000,서울시 강북구 미아동,스카이캐슬포레 1동,14,29.62
100000,서울시 강북구 미아동,스카이캐슬포레 1동,8,31.76
100000,서울시 강북구 미아동,스카이캐슬포레 1동,13,31.76
120000,서울시 강북구 미아동,스카이캐슬포레 1동,고,29.31
120000,서울시 강북구 미아동,스카이캐슬포레 1동,고,31.35
120000,서울시 강북구 미아동,스카이캐슬포레 1동,고,31.35
120000,서울시 강북구 미아동,스카이캐슬포레 1동,고,31.22
120000,서울시 강북구 미아동,스카이캐슬포레 1동,고,29.31
120000,서울시 강북구 미아동,스카이캐슬포레 1동,고,31.22
100000,서울시 강북구 미아동,스카이캐슬포레 1동,13,29.31
120000,서울시 강북구 미아동,스카이캐슬포레 1동,5,31.76
70000,서울시 강북구 미아동,아르테가수유역 1동,6,26.97
70000,서울시 강북구 미아동,아르테가수유역 1동,9,26.97
70000,서울시 강북구 미아동,아르테가수유역 1동,11,26.82
70000,서울시 강북구 미아동,아르테가수유역 1동,6,26.66
70000,서울시 강북구 미아동,아르테가수유역 1동,10,18.53
70000,서울시 강북구 미아동,아르테가수유역 1동,7,26.51
70000,서울시 강북구 미아동,아르테가수유역 1동,5,26.97
70000,서울시 강북구 미아동,아르테가수유역 1동,11,26.82
70000,서울시 강북구 미아동,아르테가수유역 1동,중,26.66
70000,서울시 강북구 미아동,아르테가수유역 1동,고,26.97
70000,서울시 강북구 미아동,아르테가수유역 1동,저,26.66
70000,서울시 강북구 미아동,아르테가수유역 1동,고,26.51
70000,서울시 강북구 미아동,아르테가수유역 1동,9,27.72
150000,서울시 강북구 번동,가든타워 1동,고,36.9
150000,서울시 강북구 번동,가든타워 1동,고,35.1
150000,서울시 강북구 번동,가든타워 1동,고,36.9
100000,서울시 강북구 번동,강북중앙드림빌 1동,6,28.71
100000,서울시 강북구 번동,강북중앙드림빌 1동,중,28.71
70000,서울시 강북구 번동,강북중앙드림빌 1동,고,32.49
80000,서울시 강북구 번동,강북중앙드림빌 1동,고,32.49
50000,서울시 강북구 번동,대원파크빌 A동,2,57.89
70000,서울시 강북구 번동,밀레니엄 1동,9,24.47
70000,서울시 강북구 번동,밀레니엄 1동,중,24.95
0,서울시 강북구 번동,밀레니엄 1동,저,24.95
60000,서울시 강북구 번동,밀레니엄 1동,고,24.95
60000,서울시 강북구 번동,밀레니엄 1동,저,24.47
7,서울시 강북구 번동,밀레니엄 1동,4,24.95
70000,서울시 강북구 번동,밀레니엄 1동,3,24.95
63000,서울시 강북구 번동,밀레니엄 1동,2,24.47
70000,서울시 강북구 번동,북한산드림캐슬 1동,3,24.09
80000,서울시 강북구 번동,북한산드림캐슬 1동,4,24.09
70000,서울시 강북구 번동,북한산드림캐슬 1동,5,24.09
80000,서울시 강북구 번동,북한산드림캐슬 1동,4,24.09
55000,서울시 강북구 번동,북한산드림캐슬 1동,중,24.09
135000,서울시 강북구 번동,삼보힐 1동,15,18.9
120000,서울시 강북구 번동,삼보힐 1동,15,19.6
100000,서울시 강북구 번동,삼보힐 1동,11,39.2
0,서울시 강북구 번동,삼보힐 1동,고,39.2
135000,서울시 강북구 번동,삼보힐 1동,15,18.9
100000,서울시 강북구 번동,삼보힐 1동,13,37.8
100000,서울시 강북구 번동,삼보힐 1동,고,39.2
100000,서울시 강북구 번동,삼보힐 1동,8,37.8
80000,서울시 강북구 번동,선경타워(민간임대) 1동,4,28.23
90000,서울시 강북구 번동,선경타워(민간임대) 1동,4,22.33
90000,서울시 강북구 번동,선경타워(민간임대) 1동,4,21.58
90000,서울시 강북구 번동,선경타워(민간임대) 1동,저,37.23
90000,서울시 강북구 번동,선경타워(민간임대) 1동,저,20.69
90000,서울시 강북구 번동,선경타워(민간임대) 1동,저,21.58
90000,서울시 강북구 번동,선경타워(민간임대) 1동,4,21.58
90000,서울시 강북구 번동,선경타워(민간임대) 1동,저,22.33
90000,서울시 강북구 번동,선경타워(민간임대) 1동,저,22.33
90000,서울시 강북구 번동,선경타워(민간임대) 1동,저,21.58
100000,서울시 강북구 번동,선경타워(민간임대) 1동,4,21.58
100000,서울시 강북구 번동,선경타워(민간임대) 1동,저,21.58
80000,서울시 강북구 번동,수유역투웨니퍼스트 1동,18,29.22
80000,서울시 강북구 번동,수유역투웨니퍼스트 1동,3,29.22
0,서울시 강북구 번동,수유역투웨니퍼스트 1동,저,29.22
80000,서울시 강북구 번동,수유역투웨니퍼스트 1동,저,29.22
80000,서울시 강북구 번동,수유역투웨니퍼스트 1동,고,29.22
80000,서울시 강북구 번동,수유역투웨니퍼스트 1동,고,29.22
80000,서울시 강북구 번동,수유역투웨니퍼스트 1동,중,29.22
