gu,opst,cost,평수,floor
종로구,르메이에르종로타운 1동,240000.0,17.1,고
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,고
종로구,루비온 1동,100000.0,5.5,고
종로구,루비온 1동,100000.0,5.5,고
종로구,루비온 1동,100000.0,5.5,고
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,저
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,루비온 1동,100000.0,5.5,중
종로구,시티플러스 1동,200000.0,6.8,중
종로구,시티플러스 1동,200000.0,5.7,중
종로구,시티플러스 1동,200000.0,6.8,저
종로구,시티플러스 1동,200000.0,5.7,저
종로구,시티플러스 1동,200000.0,6.8,저
종로구,시티플러스 1동,200000.0,5.7,저
종로구,시티플러스 1동,200000.0,6.8,저
종로구,시티플러스 1동,200000.0,5.7,저
종로구,시티플러스 1동,200000.0,6.8,중
종로구,시티플러스 1동,200000.0,5.7,중
종로구,시티플러스 1동,200000.0,6.8,중
종로구,시티플러스 1동,200000.0,5.7,중
종로구,시티플러스 1동,200000.0,6.8,중
종로구,시티플러스 1동,200000.0,5.7,중
종로구,시티플러스 1동,200000.0,6.8,중
종로구,시티플러스 1동,200000.0,6.8,중
종로구,시티플러스 1동,200000.0,5.7,중
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,저
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
중구,라시떼 1동,100000.0,6.7,중
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.7,저
용산구,용산클라우드나인 1동,100000.0,5.7,저
용산구,용산클라우드나인 1동,100000.0,5.7,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.2,저
용산구,용산클라우드나인 1동,100000.0,5.7,저
용산구,용산클라우드나인 1동,100000.0,5.7,저
용산구,용산클라우드나인 1동,100000.0,5.7,저
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.2,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
용산구,용산클라우드나인 1동,100000.0,5.7,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,고
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,저
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,저
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.9,중
성동구,왕십리역요진와이하우스 1동,120000.0,8.4,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,고
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
성동구,왕십리렉스프리미엄 1동,110000.0,5.6,중
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.7,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.7,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.7,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.7,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.9,저
광진구,안틸리아자양 1동,100000.0,7.9,중
광진구,안틸리아자양 1동,100000.0,7.7,중
광진구,안틸리아자양 1동,100000.0,7.9,중
광진구,안틸리아자양 1동,100000.0,7.9,중
광진구,안틸리아자양 1동,100000.0,7.7,중
광진구,안틸리아자양 1동,100000.0,7.9,중
광진구,안틸리아자양 1동,100000.0,7.9,중
광진구,안틸리아자양 1동,100000.0,7.9,중
광진구,안틸리아자양 1동,100000.0,7.7,중
광진구,안틸리아자양 1동,100000.0,7.9,중
