,cost,address,opst,floor,space,city,gu,dong,평수
0,70000,서울시 강북구 미아동,그랜드파크 1동,고,16.78,서울시,강북구,미아동,5.1
1,80000,서울시 강북구 미아동,그랜드파크 1동,고,18.48,서울시,강북구,미아동,5.6
2,80000,서울시 강북구 미아동,그랜드파크 1동,고,18.48,서울시,강북구,미아동,5.6
3,80000,서울시 강북구 미아동,그랜드파크 1동,고,18.48,서울시,강북구,미아동,5.6
4,70000,서울시 강북구 미아동,그랜드파크 1동,저,18.48,서울시,강북구,미아동,5.6
5,100000,서울시 강북구 미아동,그랜드파크 1동,저,18.48,서울시,강북구,미아동,5.6
6,70000,서울시 강북구 미아동,그랜드파크 1동,저,14.92,서울시,강북구,미아동,4.5
7,74000,서울시 강북구 미아동,그랜드파크 1동,저,18.48,서울시,강북구,미아동,5.6
8,73000,서울시 강북구 미아동,그랜드파크 1동,저,18.48,서울시,강북구,미아동,5.6
9,74000,서울시 강북구 미아동,그랜드파크 1동,중,14.92,서울시,강북구,미아동,4.5
10,80000,서울시 강북구 미아동,그랜드파크 1동,중,18.48,서울시,강북구,미아동,5.6
11,67000,서울시 강북구 미아동,수유역푸르지오시티 1동,중,22.42,서울시,강북구,미아동,6.8
12,70000,서울시 강북구 미아동,수유역푸르지오시티 1동,중,22.42,서울시,강북구,미아동,6.8
13,80000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
14,70000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
15,67000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
16,70000,서울시 강북구 미아동,수유역푸르지오시티 1동,중,22.42,서울시,강북구,미아동,6.8
17,70000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
18,67000,서울시 강북구 미아동,수유역푸르지오시티 1동,중,22.42,서울시,강북구,미아동,6.8
19,80000,서울시 강북구 미아동,수유역푸르지오시티 1동,저,22.42,서울시,강북구,미아동,6.8
20,100000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
21,100000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
22,80000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
23,65000,서울시 강북구 미아동,수유역푸르지오시티 1동,중,22.42,서울시,강북구,미아동,6.8
24,65000,서울시 강북구 미아동,수유역푸르지오시티 1동,중,22.42,서울시,강북구,미아동,6.8
25,65000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
26,65000,서울시 강북구 미아동,수유역푸르지오시티 1동,고,22.42,서울시,강북구,미아동,6.8
27,120000,서울시 강북구 미아동,스카이캐슬포레 1동,고,29.62,서울시,강북구,미아동,9.0
28,100000,서울시 강북구 미아동,스카이캐슬포레 1동,중,31.76,서울시,강북구,미아동,9.6
29,100000,서울시 강북구 미아동,스카이캐슬포레 1동,고,31.76,서울시,강북구,미아동,9.6
30,100000,서울시 강북구 미아동,스카이캐슬포레 1동,고,29.31,서울시,강북구,미아동,8.9
31,120000,서울시 강북구 미아동,스카이캐슬포레 1동,중,31.76,서울시,강북구,미아동,9.6
32,70000,서울시 강북구 미아동,아르테가수유역 1동,중,26.97,서울시,강북구,미아동,8.2
33,70000,서울시 강북구 미아동,아르테가수유역 1동,중,26.97,서울시,강북구,미아동,8.2
34,70000,서울시 강북구 미아동,아르테가수유역 1동,고,26.82,서울시,강북구,미아동,8.1
35,70000,서울시 강북구 미아동,아르테가수유역 1동,중,26.66,서울시,강북구,미아동,8.1
36,70000,서울시 강북구 미아동,아르테가수유역 1동,중,18.53,서울시,강북구,미아동,5.6
37,70000,서울시 강북구 미아동,아르테가수유역 1동,중,26.51,서울시,강북구,미아동,8.0
38,70000,서울시 강북구 미아동,아르테가수유역 1동,중,26.97,서울시,강북구,미아동,8.2
39,70000,서울시 강북구 미아동,아르테가수유역 1동,고,26.82,서울시,강북구,미아동,8.1
40,70000,서울시 강북구 미아동,아르테가수유역 1동,중,27.72,서울시,강북구,미아동,8.4
41,100000,서울시 강북구 번동,강북중앙드림빌 1동,중,28.71,서울시,강북구,번동,8.7
42,50000,서울시 강북구 번동,대원파크빌 A동,저,57.89,서울시,강북구,번동,17.5
43,70000,서울시 강북구 번동,밀레니엄 1동,중,24.47,서울시,강북구,번동,7.4
44,70000,서울시 강북구 번동,밀레니엄 1동,저,24.95,서울시,강북구,번동,7.5
45,63000,서울시 강북구 번동,밀레니엄 1동,저,24.47,서울시,강북구,번동,7.4
46,70000,서울시 강북구 번동,북한산드림캐슬 1동,저,24.09,서울시,강북구,번동,7.3
47,80000,서울시 강북구 번동,북한산드림캐슬 1동,저,24.09,서울시,강북구,번동,7.3
48,70000,서울시 강북구 번동,북한산드림캐슬 1동,중,24.09,서울시,강북구,번동,7.3
49,80000,서울시 강북구 번동,북한산드림캐슬 1동,저,24.09,서울시,강북구,번동,7.3
50,135000,서울시 강북구 번동,삼보힐 1동,고,18.9,서울시,강북구,번동,5.7
51,120000,서울시 강북구 번동,삼보힐 1동,고,19.6,서울시,강북구,번동,5.9
52,100000,서울시 강북구 번동,삼보힐 1동,고,39.2,서울시,강북구,번동,11.9
